Namespace(alpha=0.95, alpha_vr=0.85, architecture='700-500-300-250', batch_size=128, data_set='Smile', epochs=10000, gamma=1.15, l_rate=0.001, log_file='logs/smile_adam_alpha.csv', seed=193012823, thr=1.0, w_scale=1.5)
Epoch 257 1190.5194 1.0000 1.0000
Epoch 258 1171.7067 0.0000 0.0000
Epoch 259 1189.3088 0.0000 0.0000
Epoch 260 1179.3062 1.0000 1.0000
Epoch 261 1178.7540 1.0000 1.0000
Epoch 262 1176.1450 1.0000 1.0000
Epoch 263 1156.0103 1.0000 1.0000
Epoch 264 1185.9979 0.0000 0.0000
Epoch 265 1156.2018 0.0000 0.0000
Epoch 266 1175.4081 0.0000 0.0000
Epoch 267 1177.5903 1.0000 1.0000
Epoch 268 1195.1313 0.0000 0.0000
Epoch 269 1174.3347 0.0000 0.0000
Epoch 270 1194.5396 1.0000 1.0000
Epoch 271 1207.0254 1.0000 1.0000
Epoch 272 1204.7975 1.0000 1.0000
Epoch 273 1197.0062 0.0000 0.0000
Epoch 274 1186.7837 1.0000 1.0000
Epoch 275 1256.0609 0.0000 0.0000
Epoch 276 1174.1049 1.0000 1.0000
Epoch 277 1242.7194 1.0000 1.0000
Epoch 278 1166.6149 1.0000 1.0000
Epoch 279 1174.7570 1.0000 1.0000
Epoch 280 1213.7689 0.0000 0.0000
Epoch 281 1120.4783 0.0000 0.0000
Epoch 282 1146.2877 1.0000 1.0000
Epoch 283 1123.1678 0.0000 0.0000
Epoch 284 1091.1146 0.0000 0.0000
Epoch 285 1101.4972 1.0000 1.0000
Epoch 286 1165.4879 0.0000 0.0000
Epoch 287 1068.5608 1.0000 1.0000
Epoch 288 1087.1456 1.0000 1.0000
Epoch 289 1061.0712 1.0000 1.0000
Epoch 290 1052.9923 1.0000 1.0000
Epoch 291 1120.0723 1.0000 1.0000
Epoch 292 1061.8701 0.0000 0.0000
Epoch 293 1063.2592 0.0000 0.0000
Epoch 294 1067.0220 0.0000 0.0000
Epoch 295 1122.6871 0.0000 0.0000
Epoch 296 1035.6365 0.0000 0.0000
Epoch 297 1096.3120 0.0000 0.0000
Epoch 298 1127.5881 0.0000 0.0000
Epoch 299 1046.2920 1.0000 1.0000
Epoch 300 1074.2123 0.0000 0.0000
Epoch 301 1067.2455 0.0000 0.0000
Epoch 302 1011.9338 0.0000 0.0000
Epoch 303 1054.6326 1.0000 1.0000
Epoch 304 1038.3368 1.0000 1.0000
Epoch 305 987.6469 1.0000 1.0000
Epoch 306 1008.2865 0.0000 0.0000
Epoch 307 1033.2905 0.0000 0.0000
Epoch 308 1020.1303 1.0000 1.0000
Epoch 309 1001.0290 1.0000 1.0000
Epoch 310 1022.8770 1.0000 1.0000
Epoch 311 984.9509 0.0000 0.0000
Epoch 312 1010.8118 0.0000 0.0000
Epoch 313 991.0894 1.0000 1.0000
Epoch 314 1018.2919 0.0000 0.0000
Epoch 315 1006.0378 0.0000 0.0000
Epoch 316 1013.0573 0.0000 0.0000
Epoch 317 1031.0178 1.0000 1.0000
Epoch 318 1016.1682 1.0000 1.0000
Epoch 319 1024.2869 1.0000 1.0000
Epoch 320 983.1401 0.0000 0.0000
Epoch 321 1010.1382 0.0000 0.0000
Epoch 322 1035.9803 0.0000 0.0000
Epoch 323 1005.5096 1.0000 1.0000
Epoch 324 1004.1972 1.0000 1.0000
Epoch 325 994.7263 1.0000 1.0000
Epoch 326 1020.8257 0.0000 0.0000
Epoch 327 983.6372 0.0000 0.0000
Epoch 328 1043.0598 0.0000 0.0000
Epoch 329 1025.5126 1.0000 1.0000
Epoch 330 991.4044 1.0000 1.0000
Epoch 331 1008.8475 1.0000 1.0000
Epoch 332 977.5986 1.0000 1.0000
Epoch 333 1041.5758 0.0000 0.0000
Epoch 334 1026.8745 1.0000 1.0000
